rvmRadial,rvmPoly,svmRadial,svmPoly,gaussprRadial,gaussprPoly,nnet,knn,treebag,rf,cubist,pls,pcr,ens_greedy,ens_linear
0.389378605,0.406254508,0.530322446,0.456395326,0.558578207,0.474247522,0.242686531,0.473097375,0.393155145,0.437332238,0.509074228,0.411709154,0.401714583,0.489695068,0.478553735
0.498368784,0.792134271,0.758039158,0.825110516,0.665081647,0.834379795,0.691712244,0.72924931,0.635256456,0.798182984,0.814980594,0.745552716,0.769367097,0.857446103,0.83911399
0.178894096,0.406639908,0.465247859,0.411184113,0.370590355,0.432651767,0.399358986,0.323929301,0.186600866,0.207113569,0.495153381,0.434400897,0.359634426,0.523653583,0.560709556
0.819671976,0.756079084,0.797575587,0.670527101,0.890966349,0.772771627,0.003924727,0.811372817,0.612993309,0.748586734,0.713721375,0.767070686,0.78682011,0.740925663,0.703516882
0.615292013,0.537683008,0.57086099,0.603781442,0.584939195,0.549161319,0.821730837,0.489450072,0.617848355,0.687876256,0.559272932,0.607156715,0.46633173,0.676568059,0.649632238
0.849928058,0.615302902,0.845784334,0.563828352,0.82455661,0.692023863,0.797022267,0.659923901,0.585319046,0.661550892,0.759559857,0.561791605,0.612275149,0.69676321,0.715952132
0.198716787,0.676144777,0.288149464,0.586465381,0.479309215,0.46335331,0.356838186,0.401040591,0.723984359,0.677774164,0.730340502,0.795713237,0.717192994,0.67225303,0.560888461
0.613899892,0.671989385,0.483350584,0.697247722,0.536887789,0.734425977,0.571729765,0.454689873,0.649197024,0.604457839,0.645615606,0.505435433,0.442397002,0.680830295,0.69338373
0.597825052,0.87644763,0.667581218,0.744413086,0.835287436,0.702672301,0.347527937,0.469237004,0.675683164,0.749687054,0.700143997,0.76394609,0.798416478,0.844124356,0.733030746
0.424984692,0.399929338,0.575969006,0.48882241,0.501403352,0.490804435,0.461530414,0.248711755,0.538037334,0.489814785,0.544222697,0.519085869,0.542986876,0.562458801,0.512885245
0.562235014,0.335111182,0.212809445,0.487924785,0.256643981,0.44920464,0.01955977,0.526078362,0.332177936,0.400852255,0.453378216,0.302321357,0.3224389,0.451638608,0.563893867
0.321165295,0.479686696,0.561410475,0.383723417,0.486254457,0.425227884,0.30900491,0.599794559,0.454005179,0.526696448,0.526867773,0.416803255,0.39885655,0.435109358,0.365576103
1.90053E-05,0.669539278,0.303996038,0.694063903,0.247634369,0.63477848,0.488593578,0.679090362,0.815222904,0.769652534,0.674393733,0.54214525,0.707771387,0.745819558,0.767415941
