rvmRadial,rvmPoly,svmRadial,svmPoly,gaussprRadial,gaussprPoly,nnet,knn,treebag,rf,cubist,pls,pcr,ens_greedy,ens_linear
0.182252842,0.542490756,0.715192029,0.676629007,0.656858617,0.695100932,0.737310251,0.403843419,0.398713461,0.573804692,0.604917763,0.505012167,0.547715204,0.688601664,0.560210852
0.504169014,0.566174952,0.341399609,0.53224056,0.547268007,0.370279572,0.477027231,0.691788431,0.091883561,0.243491384,0.710962829,0.584480449,0.615280293,0.596271084,0.525887361
0.362987166,0.429525167,0.592918664,0.585420455,0.522072754,0.553420219,0.219525575,0.48009329,0.277893763,0.380726398,0.632109296,0.465959136,0.539015654,0.489052374,0.637114784
0.027063493,0.16009461,0.438245815,0.302847451,0.294128815,0.627169286,0.144823735,0.354447002,0.573382919,0.520075896,0.199281699,0.311794902,0.405828678,0.432943908,0.267830198
0.642699273,0.418328933,0.477233882,0.231940061,0.692309936,0.335659359,0.19051449,0.604933811,0.521765882,0.166895607,0.70835287,0.724417377,0.864672733,0.537573254,0.674619175
0.625594269,0.802321722,0.813303414,0.708233146,0.736111098,0.802022978,0.651248557,0.675306072,0.586770307,0.573796138,0.717747664,0.669081352,0.714076069,0.853733267,0.866039997
0.199334438,0.34441656,0.383272016,0.338217726,0.337583814,0.361801624,0.131967147,0.427896062,0.381085403,0.353462994,0.483878409,0.333233126,0.314892775,0.388632329,0.211589966
0.186788546,0.207681372,0.145871121,0.225786076,0.210685423,0.293559798,0.063295191,0.081381516,0.06763878,0.060946046,0.139488685,0.329918156,0.408028238,0.166803003,0.314094475
0.409924254,0.355621739,0.50073299,0.397598173,0.425525012,0.427907756,0.32612753,0.433183091,0.49070049,0.589141748,0.498713964,0.27696234,0.390563152,0.457442753,0.435275708
0.304873221,0.499201886,0.37932186,0.470211823,0.440160797,0.450580011,0.129918724,0.294276812,0.214771194,0.201568269,0.486022694,0.452934364,0.413631556,0.48629216,0.482649982
0.632070952,0.872632051,0.82968291,0.849821634,0.906241277,0.837670958,0.825988406,0.617614019,0.776020993,0.827832755,0.902247023,0.902378653,0.920502452,0.901161418,0.840204122
0.687777019,0.580957479,0.550926773,0.549436926,0.59201884,0.577690609,0.581565086,0.74449194,0.546497024,0.57887048,0.586713269,0.543899477,0.532562757,0.647851399,0.653910141
0.273972457,0.624918598,0.417869695,0.602853333,0.622685693,0.672923465,0.447561566,0.671855072,0.374073593,0.264057705,0.381183952,0.536454791,0.527038279,0.70768972,0.54478842
0.643718828,0.623291278,0.226077912,0.59532314,0.389342839,0.419167573,0.817399592,0.326101621,0.287747675,0.374966395,0.392675183,0.541057308,0.63191353,0.594016229,0.62688047
0.004061171,0.433408858,0.140516335,0.489698481,0.199046637,0.72518455,0.458132859,0.468013246,0.5323756,0.567063027,0.460740812,0.523894529,0.570297939,0.605532961,0.660000717
0.627605646,0.560764675,0.550149841,0.717376175,0.605765686,0.753847248,0.19808782,0.466638655,0.347559387,0.436367455,0.446474512,0.61748623,0.46633173,0.737001539,0.687896927
0.470882854,0.729347435,0.777415735,0.794936499,0.871462177,0.91049826,0.742554591,0.655119039,0.672527618,0.811196633,0.821682275,0.757629277,0.832498976,0.910368131,0.904104783
0.061043884,0.871395244,0.301191002,0.655648346,0.46864416,0.697046598,0.415602956,0.567882686,0.503316069,0.551818127,0.737093666,0.864921808,0.860464346,0.850644911,0.897162204
0.16204281,0.491086329,0.255138125,0.40195053,0.506088481,0.329946353,0.432980067,0.293144399,0.270816568,0.3445077,0.472678202,0.535570057,0.607564185,0.461575123,0.47510741
0.814943486,0.814237544,0.403275589,0.327859252,0.736020589,0.740092343,0.791328843,0.505992906,0.550120019,0.406010747,0.74418867,0.78664216,0.850164944,0.813774385,0.810800393
0.168527539,0.357798394,0.094449927,0.318472156,0.206301782,0.315008883,0.277822278,0.176818804,0.022209454,0.261760359,0.445505574,0.324792013,0.335272464,0.393986002,0.46341781
